dataset,series,method,seed,provenance,score_file,label_offset,points,anomaly_ratio,point_f1_pa,point_precision_pa,point_recall_pa,point_threshold_pa,event_f1_pa_log,event_precision_pa_log,event_recall_pa_log,event_threshold_pa_log
Yahoo,A4Benchmark-TS68,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS68.npy,16,824,0.001214,0.666667,0.500000,1.000000,1.065207,0.666667,0.500000,1.000000,1.065207
Yahoo,A4Benchmark-TS69,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS69.npy,16,824,0.001214,0.666667,0.500000,1.000000,0.287426,0.666667,0.500000,1.000000,0.287426
Yahoo,A4Benchmark-TS7,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS7.npy,16,824,0.007282,0.727273,0.800000,0.666667,0.005305,0.727273,0.800000,0.666667,0.005305
Yahoo,A4Benchmark-TS70,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS70.npy,16,824,0.002427,0.666667,0.500000,1.000000,0.239317,0.666667,0.500000,1.000000,0.239317
Yahoo,A4Benchmark-TS71,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS71.npy,16,824,0.004854,0.666667,0.600000,0.750000,0.861610,0.666667,0.600000,0.750000,0.861610
Yahoo,A4Benchmark-TS72,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS72.npy,16,824,0.002427,1.000000,1.000000,1.000000,0.268470,1.000000,1.000000,1.000000,0.268470
Yahoo,A4Benchmark-TS73,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS73.npy,16,824,0.004854,0.533333,0.363636,1.000000,0.206197,0.533333,0.363636,1.000000,0.206197
Yahoo,A4Benchmark-TS74,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS74.npy,16,824,0.001214,1.000000,1.000000,1.000000,0.094870,1.000000,1.000000,1.000000,0.094870
Yahoo,A4Benchmark-TS75,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS75.npy,16,824,0.007282,0.666667,1.000000,0.500000,0.137923,0.666667,1.000000,0.500000,0.137923
Yahoo,A4Benchmark-TS76,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS76.npy,16,824,0.003641,0.500000,1.000000,0.333333,0.192264,0.500000,1.000000,0.333333,0.192264
Yahoo,A4Benchmark-TS77,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS77.npy,16,824,0.007282,0.666667,1.000000,0.500000,0.119359,0.666667,1.000000,0.500000,0.119359
Yahoo,A4Benchmark-TS78,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS78.npy,16,824,0.008495,0.500000,0.444444,0.571429,0.549882,0.500000,0.444444,0.571429,0.549882
Yahoo,A4Benchmark-TS79,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS79.npy,16,824,0.001214,0.500000,0.333333,1.000000,0.011522,0.500000,0.333333,1.000000,0.011522
Yahoo,A4Benchmark-TS8,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS8.npy,16,824,0.007282,0.571429,0.400000,1.000000,0.057854,0.571429,0.400000,1.000000,0.057854
Yahoo,A4Benchmark-TS80,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS80.npy,16,824,0.006068,0.285714,0.500000,0.200000,0.005581,0.285714,0.500000,0.200000,0.005581
Yahoo,A4Benchmark-TS81,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS81.npy,16,824,0.006068,0.545455,0.500000,0.600000,0.164957,0.545455,0.500000,0.600000,0.164957
Yahoo,A4Benchmark-TS82,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS82.npy,16,824,0.002427,1.000000,1.000000,1.000000,0.082267,1.000000,1.000000,1.000000,0.082267
Yahoo,A4Benchmark-TS83,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS83.npy,16,824,0.000000,nan,nan,nan,nan,nan,nan,nan,nan
Yahoo,A4Benchmark-TS84,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS84.npy,16,824,0.002427,0.500000,0.500000,0.500000,0.214907,0.500000,0.500000,0.500000,0.214907
Yahoo,A4Benchmark-TS85,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS85.npy,16,824,0.009709,0.400000,0.333333,0.500000,0.025221,0.400000,0.333333,0.500000,0.025221
Yahoo,A4Benchmark-TS86,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS86.npy,16,824,0.007282,0.521739,0.352941,1.000000,0.155714,0.521739,0.352941,1.000000,0.155714
Yahoo,A4Benchmark-TS87,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS87.npy,16,824,0.001214,0.666667,0.500000,1.000000,2.219147,0.666667,0.500000,1.000000,2.219147
Yahoo,A4Benchmark-TS88,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS88.npy,16,824,0.009709,0.727273,0.571429,1.000000,0.036898,0.727273,0.571429,1.000000,0.036898
Yahoo,A4Benchmark-TS89,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS89.npy,16,824,0.007282,0.857143,0.750000,1.000000,0.155535,0.857143,0.750000,1.000000,0.155535
Yahoo,A4Benchmark-TS9,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS9.npy,16,824,0.001214,0.021978,0.011111,1.000000,0.307146,0.021978,0.011111,1.000000,0.307146
Yahoo,A4Benchmark-TS90,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS90.npy,16,824,0.007282,0.857143,0.750000,1.000000,0.218605,0.857143,0.750000,1.000000,0.218605
Yahoo,A4Benchmark-TS91,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS91.npy,16,824,0.006068,0.400000,0.400000,0.400000,0.422299,0.400000,0.400000,0.400000,0.422299
Yahoo,A4Benchmark-TS92,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS92.npy,16,824,0.009709,0.933333,1.000000,0.875000,0.212367,0.933333,1.000000,0.875000,0.212367
Yahoo,A4Benchmark-TS93,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS93.npy,16,824,0.002427,0.666667,0.500000,1.000000,0.039908,0.666667,0.500000,1.000000,0.039908
Yahoo,A4Benchmark-TS94,TShape-faithful-reproduction,stored,stored artifact replay,Results/Scores/TShape/naive/Yahoo/A4Benchmark-TS94.npy,16,824,0.007282,0.500000,1.000000,0.333333,0.244767,0.500000,1.000000,0.333333,0.244767
